Start frame	End frame	Category	Status	Notes
474	520	Prismatic 4 Finger	In taxonomy	Zone pick
580	644	Adducted Thumb	In taxonomy	After bar has been rotated in hand
650	660	Adducted Thumb	In taxonomy	Zone place
705	790	Prismatic 4 Finger	In taxonomy	Bar has been rotated
1985	2030	Power Sphere	In taxonomy	Mdew pick
6640	6730	Power Sphere	In taxonomy	Milk place
7520	7637	Large Diameter	In taxonomy	Pepsi cup pick
10734	10745	Prismatic 2 Finger (env. aided)	New	Utensils (spoon) pick
10763	10770	Tripod	In taxonomy	
10770	10778	Inferior Pincer	In taxonomy	Middle finger is regrasping
10800	10820	Small Diameter	In taxonomy	Very brief grasp (pinky is free)
10870	10900	Writing Tripod	In taxonomy	
10970	10980	Prismatic 3 Finger	In taxonomy	
11015	11180	Ulnar Grasp	New	
11180	11240	Lateral Pinch + Ulnar Grasp	New	
11240	11270	Lateral Pinch (1+3) + Ulnar Grasp	New	
11316	11325	Medium Wrap	In taxonomy	Very brief grasp
11405	11490	Ulnar Grasp	New	
11500	11535	Thumb-Index Finger + Ulnar	New	
11770	11810	Adducted Thumb	In taxonomy	
15320	15420	Sphere	In taxonomy	
17470	17560	Large Diameter	In taxonomy	